run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.correction_acc,metrics.predictive_equality_difference,metrics.correction_fnr,metrics.accuracy,metrics.demographic_parity_difference,metrics.equalized_odds_difference,metrics.equal_opportunity_difference,metrics.correction_fpr,metrics.roc_auc,params.correction_alg,params.senstive_attr,params.n_iterations,params.noise_type,params.noise_rate,params.n_clusters,params.dataset,params.classifier,params.test_size,tags.mlflow.user,tags.mlflow.source.name,tags.test_set,tags.train_set,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.run
3e0be43e5e1549dcb956c2c1842af0e4,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/3e0be43e5e1549dcb956c2c1842af0e4/artifacts,2023-03-25 04:33:58.898000+00:00,2023-03-25 04:34:09.137000+00:00,0.6666666666666666,0.9431818181818182,1.0,0.8047058823529412,0.9431818181818182,0.9431818181818182,0.0,0.0,0.0,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,corrected,noisy,big-ray-308,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
7cf83a797f124840b021e2a3c5af29c1,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/7cf83a797f124840b021e2a3c5af29c1/artifacts,2023-03-25 04:33:49.877000+00:00,2023-03-25 04:33:58.565000+00:00,0.6666666666666666,0.2003304558942541,1.0,0.8070588235294117,0.2003304558942541,0.2003304558942541,0.0,0.0,0.0,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,corrected,original,illustrious-bird-226,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
4c36549cac824cfab1477e19559158ec,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/4c36549cac824cfab1477e19559158ec/artifacts,2023-03-25 04:33:40.727000+00:00,2023-03-25 04:33:49.553000+00:00,0.6666666666666666,0.0,1.0,0.7670588235294118,0.0,0.0,0.0,0.0,0.0,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,noisy,corrected,zealous-carp-855,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
f33e3ea3a0304bbd8564833fdee109f3,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/f33e3ea3a0304bbd8564833fdee109f3/artifacts,2023-03-25 04:33:31.357000+00:00,2023-03-25 04:33:40.416000+00:00,0.6666666666666666,0.8235294117647058,1.0,0.8964705882352941,0.9431818181818182,0.971830985915493,0.971830985915493,0.0,0.8559521596331412,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,noisy,noisy,beautiful-worm-695,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
d9b92e123f8540548412da587a934318,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/d9b92e123f8540548412da587a934318/artifacts,2023-03-25 04:33:22.021000+00:00,2023-03-25 04:33:31.057000+00:00,0.6666666666666666,0.1580049495526366,1.0,0.64,0.2003304558942541,0.4004024144869215,0.4004024144869216,0.0,0.3520790729379686,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,noisy,original,sedate-dog-744,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
ddcb56bbd8534785abbf3ed738b1bdf5,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/ddcb56bbd8534785abbf3ed738b1bdf5/artifacts,2023-03-25 04:33:13.207000+00:00,2023-03-25 04:33:21.694000+00:00,0.6666666666666666,0.0,1.0,0.6658823529411765,0.0,0.0,0.0,0.0,0.0,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,original,corrected,efficient-shrew-126,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
5e745f52b7db4eedbaee8248ec2a11b7,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/5e745f52b7db4eedbaee8248ec2a11b7/artifacts,2023-03-25 04:33:03.975000+00:00,2023-03-25 04:33:12.886000+00:00,0.6666666666666666,0.9295774647887324,1.0,0.5505882352941176,0.9431818181818182,1.0,1.0,0.0,0.4997013885432738,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,original,noisy,adventurous-deer-984,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
e347e2485d094f988f955cc3fa768261,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/e347e2485d094f988f955cc3fa768261/artifacts,2023-03-25 04:32:54.468000+00:00,2023-03-25 04:33:03.641000+00:00,0.6666666666666666,0.0897555142173797,1.0,0.731764705882353,0.2003304558942541,0.3731764705882353,0.3731764705882353,0.0,0.695963768476584,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.8,100,churn,LogReg,0.2,ines,run_noiseinjection.py,original,original,carefree-bass-620,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
81bcee165b9a4cb393d01381396d1eae,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/81bcee165b9a4cb393d01381396d1eae/artifacts,2023-03-25 04:32:16.676000+00:00,2023-03-25 04:32:25.346000+00:00,0.6685525695426685,0.0,0.9943422913719944,1.0,0.0118694362017804,1.0,0.0,0.0,1.0,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.7,100,churn,LogReg,0.2,ines,run_noiseinjection.py,corrected,corrected,brawny-grub-853,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
1e8e6e97edfd4f9bb3e08b11331b2e7a,94,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/94/1e8e6e97edfd4f9bb3e08b11331b2e7a/artifacts,2023-03-25 04:32:07.574000+00:00,2023-03-25 04:32:16.373000+00:00,0.6685525695426685,0.875,0.9943422913719944,0.8094117647058824,0.875,0.875,1.0,0.0,0.5195961995249406,Cluster-Based Correction,voice_mail_plan,10,balanced_bias,0.7,100,churn,LogReg,0.2,ines,run_noiseinjection.py,corrected,noisy,upbeat-cod-400,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_041838
