run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.correction_acc,metrics.predictive_equality_difference,metrics.correction_fnr,metrics.accuracy,metrics.demographic_parity_difference,metrics.equalized_odds_difference,metrics.equal_opportunity_difference,metrics.roc_auc,metrics.correction_fpr,params.correction_alg,params.senstive_attr,params.noise_type,params.n_folds,params.noise_rate,params.dataset,params.correction_classifier,params.classifier,params.correction_rate,params.test_size,tags.mlflow.user,tags.mlflow.source.name,tags.test_set,tags.train_set,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.run
94b4304d30904de6b7c6ce0805d121d9,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/94b4304d30904de6b7c6ce0805d121d9/artifacts,2023-03-25 04:18:26.858000+00:00,2023-03-25 04:18:35.931000+00:00,0.5403111739745403,1.0,0.8458274398868458,0.983529411764706,0.9772727272727272,1.0,0.976470588235294,0.987757600489696,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,corrected,corrected,melodic-moose-256,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
fda5f8146c5a41d9b1aad737296abc49,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/fda5f8146c5a41d9b1aad737296abc49/artifacts,2023-03-25 04:18:17.233000+00:00,2023-03-25 04:18:26.536000+00:00,0.5403111739745403,1.0,0.8458274398868458,0.9788235294117648,0.9545454545454546,1.0,0.9529411764705882,0.994388900224444,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,corrected,noisy,dapper-stoat-165,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
35c1d7625d804658a87a1502d001b9df,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/35c1d7625d804658a87a1502d001b9df/artifacts,2023-03-25 04:18:07.714000+00:00,2023-03-25 04:18:16.924000+00:00,0.5403111739745403,0.2328358208955223,0.8458274398868458,0.6211764705882353,0.2003304558942541,0.4647058823529412,0.4647058823529412,0.2221315377814051,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,corrected,original,fearless-smelt-59,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
9e187dc6c062465c98f0f39b33453d59,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/9e187dc6c062465c98f0f39b33453d59/artifacts,2023-03-25 04:17:57.818000+00:00,2023-03-25 04:18:07.398000+00:00,0.5403111739745403,1.0,0.8458274398868458,0.9270588235294116,0.9772727272727272,1.0,0.9733333333333334,0.9164637757452128,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,noisy,corrected,unleashed-croc-714,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
be2936150d474c589d25f43c46a56fb7,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/be2936150d474c589d25f43c46a56fb7/artifacts,2023-03-25 04:17:48+00:00,2023-03-25 04:17:57.248000+00:00,0.5403111739745403,1.0,0.8458274398868458,0.9223529411764706,0.9545454545454546,1.0,0.9466666666666668,0.8927090873198658,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,noisy,noisy,secretive-steed-923,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
0fea7c93e77d4c07a8707a446eeba709,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/0fea7c93e77d4c07a8707a446eeba709/artifacts,2023-03-25 04:17:38.812000+00:00,2023-03-25 04:17:47.692000+00:00,0.5403111739745403,0.144260723699976,0.8458274398868458,0.64,0.2003304558942541,0.4733333333333333,0.4733333333333334,0.3058827400144766,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,noisy,original,mysterious-vole-749,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
e70996a8c3b54b149cc8bcc7c056d30e,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/e70996a8c3b54b149cc8bcc7c056d30e/artifacts,2023-03-25 04:17:29.348000+00:00,2023-03-25 04:17:38.498000+00:00,0.5403111739745403,0.971830985915493,0.8458274398868458,0.5435294117647059,0.9772727272727272,1.0,1.0,0.4648136166824267,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,original,corrected,painted-doe-266,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
5bf63fe8d8a649c2933bbcd3a0752d40,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/5bf63fe8d8a649c2933bbcd3a0752d40/artifacts,2023-03-25 04:17:19.559000+00:00,2023-03-25 04:17:29.034000+00:00,0.5403111739745403,0.943661971830986,0.8458274398868458,0.548235294117647,0.9545454545454546,1.0,1.0,0.4277111431841935,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,original,noisy,amusing-perch-103,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
45dee939353e4c769617d03f0465a2af,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/45dee939353e4c769617d03f0465a2af/artifacts,2023-03-25 04:17:10.098000+00:00,2023-03-25 04:17:19.242000+00:00,0.5403111739745403,0.0897555142173797,0.8458274398868458,0.731764705882353,0.2003304558942541,0.3731764705882353,0.3731764705882353,0.695963768476584,0.2666195190947666,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.9,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,original,original,beautiful-midge-478,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
8dda63ebbcb54cf9aa3e4d0f452b208e,93,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/93/8dda63ebbcb54cf9aa3e4d0f452b208e/artifacts,2023-03-25 04:17:00.047000+00:00,2023-03-25 04:17:09.240000+00:00,0.5483262611975483,0.8333333333333334,0.8359264497878359,0.9788235294117648,0.9772727272727272,0.9878048780487804,0.9878048780487804,0.9950519031141868,0.2595473833097595,Self-Training Correction,voice_mail_plan,balanced_bias,10,0.8,churn,LogisticRegression,LogReg,0.8,0.2,ines,run_noiseinjection.py,corrected,corrected,mercurial-jay-184,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_040527
