run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.correction_acc,metrics.predictive_equality_difference,metrics.correction_fnr,metrics.accuracy,metrics.demographic_parity_difference,metrics.equalized_odds_difference,metrics.equal_opportunity_difference,metrics.roc_auc,metrics.correction_fpr,params.correction_alg,params.senstive_attr,params.noise_type,params.n_folds,params.noise_rate,params.dataset,params.classifier,params.test_size,params.alpha,tags.mlflow.user,tags.mlflow.source.name,tags.test_set,tags.train_set,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.run
945e0ba37742440cbc4ae6b309b522bd,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/945e0ba37742440cbc4ae6b309b522bd/artifacts,2023-03-25 02:37:25.295000+00:00,2023-03-25 02:37:33.580000+00:00,0.5788667687595712,0.4411764705882353,0.6148648648648649,0.8091603053435115,0.6123188405797101,0.7096774193548387,0.7096774193548387,0.700339558573854,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,corrected,corrected,melodic-moose-256,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
6d411ceee2d8457cac6658a7d13f2ae4,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/6d411ceee2d8457cac6658a7d13f2ae4/artifacts,2023-03-25 02:37:16.451000+00:00,2023-03-25 02:37:24.994000+00:00,0.5788667687595712,0.3279411764705882,0.6148648648648649,0.8473282442748091,0.6379598662207357,0.631336405529954,0.6313364055299538,0.777306168647425,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,corrected,noisy,dapper-stoat-165,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
bf08351a18e249b3b058c20cf89c6bfd,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/bf08351a18e249b3b058c20cf89c6bfd/artifacts,2023-03-25 02:37:07.908000+00:00,2023-03-25 02:37:16.159000+00:00,0.5788667687595712,0.2367647058823529,0.6148648648648649,0.6030534351145038,0.1658305462653289,0.2764976958525345,0.2764976958525346,0.6103565365025467,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,corrected,original,fearless-smelt-59,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
1d5e36cf57bd43d9804a78312a1a9ece,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/1d5e36cf57bd43d9804a78312a1a9ece/artifacts,2023-03-25 02:36:59.232000+00:00,2023-03-25 02:37:07.614000+00:00,0.5788667687595712,0.7771535580524345,0.6148648648648649,0.8091603053435115,0.6123188405797101,0.7771535580524345,0.6363636363636364,0.6994152046783625,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,noisy,corrected,unleashed-croc-714,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
8c2cd818792d4887aeb8d4267f054d36,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/8c2cd818792d4887aeb8d4267f054d36/artifacts,2023-03-25 02:36:50.537000+00:00,2023-03-25 02:36:58.930000+00:00,0.5788667687595712,0.6104868913857677,0.6148648648648649,0.8320610687022901,0.6379598662207357,0.696969696969697,0.696969696969697,0.718421052631579,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,noisy,noisy,secretive-steed-923,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
3fc4c97ce5c24a72ad6afaa2b58c2477,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/3fc4c97ce5c24a72ad6afaa2b58c2477/artifacts,2023-03-25 02:36:41.933000+00:00,2023-03-25 02:36:50.241000+00:00,0.5788667687595712,0.0711610486891385,0.6148648648648649,0.6183206106870229,0.1658305462653289,0.3636363636363636,0.3636363636363636,0.6286549707602339,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,noisy,original,mysterious-vole-749,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
9e417335862f44ba96953fac18988f43,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/9e417335862f44ba96953fac18988f43/artifacts,2023-03-25 02:36:33.326000+00:00,2023-03-25 02:36:41.642000+00:00,0.5788667687595712,0.8043694141012909,0.6148648648648649,0.5114503816793893,0.6123188405797101,0.8043694141012909,0.4230769230769231,0.4093691148775894,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,original,corrected,painted-doe-266,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
37e14d836a8a47159d113c6570305738,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/37e14d836a8a47159d113c6570305738/artifacts,2023-03-25 02:36:24.820000+00:00,2023-03-25 02:36:33.042000+00:00,0.5788667687595712,0.7517378351539226,0.6148648648648649,0.5343511450381679,0.6379598662207357,0.7517378351539226,0.5230769230769231,0.4065442561205273,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,original,noisy,amusing-perch-103,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
1b8f47df7e6b45c282fd2945fd1eddcf,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/1b8f47df7e6b45c282fd2945fd1eddcf/artifacts,2023-03-25 02:36:16.079000+00:00,2023-03-25 02:36:24.519000+00:00,0.5788667687595712,0.025819265143992,0.6148648648648649,0.8702290076335878,0.1658305462653289,0.1794871794871795,0.1794871794871795,0.9350282485875706,0.2605042016806723,BE,A1,balanced_bias,10,0.9,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,original,original,beautiful-midge-478,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
81b1723b7aac4542905e141b9bac4961,85,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/85/81b1723b7aac4542905e141b9bac4961/artifacts,2023-03-25 02:36:07.036000+00:00,2023-03-25 02:36:15.239000+00:00,0.6309341500765697,0.9,0.4493243243243243,0.8015267175572519,0.8695652173913043,0.9,0.6666666666666666,0.8382113821138212,0.3025210084033613,BE,A1,balanced_bias,10,0.8,credit,LogReg,0.2,0.25,ines,run_noiseinjection.py,corrected,corrected,mercurial-jay-184,LOCAL,6abd4c8f3b8ce341b78e731e5482a8c33051f3fe,25032023_022539
